索引,时间戳,交换机,平均包数,平均字节数,端口变化率,流表一致性检测,packet_in速率,传输容量,传输效率
1,1674913713.17,1,0.626984226984,59.5444445444,4.00000000597,0,8.95568525518e-09,7148.66666667,1.02057296674
1,1674913713.17,2,0.609347498236,57.5308642531,8.00000001075,0,1.43290964083e-08,11645.6666667,1.01889680344
1,1674913713.17,3,0.612698512698,58.0111112111,4.00000000597,0,9.55273093885e-09,7086.0,1.02076057431
1,1674913713.17,4,0.626984226984,59.4111112111,4.00000000597,0,9.55273093885e-09,7146.0,1.02058088094
1,1674913713.17,5,0.588744634199,55.0454545909,12.0000000131,0,1.73143248267e-08,12864.3333333,1.0170608557
1,1674913713.17,6,0.560846616402,51.7222222778,12.0000000107,0,1.4926142092e-08,9338.0,1.01563641678
1,1674913713.17,7,0.603968303968,55.8388889389,12.0000000119,0,1.37320507246e-08,12041.6666667,1.01825834708
2,1674913718.17,1,0.587179587179,56.4035898436,2.00000000597,0,8.95568522843e-09,10353.3333333,1.30859080633
2,1674913718.17,2,0.571225126781,54.6689459245,4.00000001075,0,1.43290963655e-08,17236.6666667,1.32921192512
2,1674913718.17,3,0.579487279487,55.5697436897,2.00000000597,0,9.55273091032e-09,10290.6666667,1.31134765254
2,1674913718.17,4,0.587179587179,56.3235898436,2.00000000597,0,9.55273091032e-09,10350.6666667,1.30870712401
2,1674913718.17,5,0.545454590909,51.8636364091,6.00000001314,0,1.7314324775e-08,19239.3333333,1.33873327759
2,1674913718.17,6,0.512820568376,48.3119658675,6.00000001075,0,1.49261420474e-08,14110.6666667,1.34848920863
2,1674913718.17,7,0.547435947436,51.6387179987,6.00000001194,0,1.37320506836e-08,17632.6666667,1.31828845939
3,1674913723.18,1,0.477777877778,45.8722223222,4.00000000597,0,8.95568520168e-09,9475.33333333,1.01540454938
3,1674913723.18,2,0.464892030864,44.4668210432,8.00000001075,0,1.43290963227e-08,15658.3333333,1.01395288186
3,1674913723.18,3,0.471527877778,45.1930556556,4.00000000597,0,9.55273088179e-09,9412.66666667,1.01550949413
3,1674913723.18,4,0.477777877778,45.8055556556,4.00000000597,0,9.55273088179e-09,9472.66666667,1.01540898618
3,1674913723.18,5,0.444128833333,42.1988636818,12.0000000131,0,1.73143247232e-08,17399.6666667,1.01253025217
3,1674913723.18,6,0.41782412963,39.3263889444,12.0000000107,0,1.49261420028e-08,12710.0,1.01141698677
3,1674913723.18,7,0.446180605556,42.0506944944,12.0000000119,0,1.37320506426e-08,16054.3333333,1.01360169492
4,1674913728.18,1,0.348106160606,33.4018940394,4.00000000597,0,8.95568517492e-09,9404.0,1.0
4,1674913728.18,2,0.33880476936,32.383417564,8.00000001075,0,1.43290962799e-08,15551.3333333,1.0
4,1674913728.18,3,0.343560706061,32.9064394939,4.00000000597,0,9.55273085325e-09,9341.33333333,1.0
4,1674913728.18,4,0.348106160606,33.3518940394,4.00000000597,0,9.55273085325e-09,9401.33333333,1.0
4,1674913728.18,5,0.323863681818,30.7443182273,12.0000000131,0,1.73143246715e-08,17292.6666667,1.0
4,1674913728.18,6,0.30492429798,28.6672980354,12.0000000107,0,1.49261419582e-08,12638.6666667,1.0
4,1674913728.18,7,0.325757625758,30.6679924742,12.0000000119,0,1.37320506015e-08,15947.3333333,1.0
5,1674913733.18,1,0.27380962381,26.2633334333,2.00000000597,0,8.95568514817e-09,9544.0,1.00992485467
5,1674913733.18,2,0.26653444709,25.4648148704,4.00000001075,0,1.43290962371e-08,15668.0,1.00299183656
5,1674913733.18,3,0.270238195238,25.8733334333,2.00000000597,0,9.55273082472e-09,9341.33333333,1.0
5,1674913733.18,4,0.27380962381,26.2233334333,2.00000000597,0,9.55273082472e-09,9541.33333333,1.00992766983
5,1674913733.18,5,0.254870175325,24.1818182273,6.00000001314,0,1.73143246198e-08,17362.6666667,1.00269863911
5,1674913733.18,6,0.240079420635,22.5555556111,6.00000001075,0,1.49261419136e-08,12708.6666667,1.00369237261
5,1674913733.18,7,0.256547669048,24.1366667167,6.00000001194,0,1.37320505605e-08,16087.3333333,1.00585259814
6,1674913738.19,1,0.247409679668,23.7279570892,4.00000000597,0,8.95568512142e-09,9711.33333333,1.01502176049
6,1674913738.19,2,0.240849409308,23.0072771273,8.00000001075,0,1.43290961943e-08,16035.6666667,1.01666169515
6,1674913738.19,3,0.244183873216,23.3754644206,4.00000000597,0,9.55273079618e-09,9625.33333333,1.02026834142
